Metric,Treatment,Farm,Temperature,Day,K
CP,control,A,10,14,0.0205565232864191
CP,control,A,10,30,0.00937258268125479
CP,control,A,10,90,0.00234770927029627
NDF,control,A,10,30,0.00260516644212886
NDF,control,A,10,90,0.00245980930442027
VS,control,A,10,14,0.00224755141799096
VS,control,A,10,30,0.000960391862854633
VS,control,A,10,90,0.00206965608259243
Lipids,control,A,10,30,0.00135046502347247
Lipids,control,A,10,90,-0.00202521739664249
Hemicellulose,control,A,10,14,-0.00331334443408286
Hemicellulose,control,A,10,30,-0.00100671212889466
Hemicellulose,control,A,10,90,0.00103026089523949
Cellulose,control,A,10,14,0.0118189885715658
Cellulose,control,A,10,30,0.00978977325999568
Cellulose,control,A,10,90,0.00594443043788221
TS,control,A,10,14,0.00219236751893974
TS,control,A,10,30,0.000690327352842932
TS,control,A,10,90,0.00145128290205803
CP,control,A,10,14,0.0168468937164123
CP,control,A,10,30,0.00516237685878459
CP,control,A,10,90,0.00432641821053358
NDF,control,A,10,30,0.0142067734234718
NDF,control,A,10,90,0.00650173714577959
VS,control,A,10,14,0.0116440041733822
VS,control,A,10,30,0.00672897670998522
VS,control,A,10,90,0.00510771422849047
Lipids,control,A,10,30,0.00746159725059212
Lipids,control,A,10,90,0.00230419669365441
Hemicellulose,control,A,10,14,-0.00782080760102951
Hemicellulose,control,A,10,30,0.0103091753132104
Hemicellulose,control,A,10,90,0.00650847324848849
Cellulose,control,A,10,14,0.0119083646366872
Cellulose,control,A,10,30,0.0206267655872679
Cellulose,control,A,10,90,0.00835490201689917
TS,control,A,10,14,0.00878960064464235
TS,control,A,10,30,0.00474430132002301
TS,control,A,10,90,0.00352752839071593
CP,weekly flushing,A,10,14,0.0071303642279003
CP,weekly flushing,A,10,30,0.00805215432209136
CP,weekly flushing,A,10,90,0.000878135519656696
NDF,weekly flushing,A,10,30,0.0179010597940501
NDF,weekly flushing,A,10,90,0.00471006729646635
VS,weekly flushing,A,10,14,0.00782411322739816
VS,weekly flushing,A,10,30,0.0094698112627044
VS,weekly flushing,A,10,90,0.00371574983074528
Lipids,weekly flushing,A,10,30,0.00914336803065064
Lipids,weekly flushing,A,10,90,0.00115834399426021
Hemicellulose,weekly flushing,A,10,14,0.00681106878992058
Hemicellulose,weekly flushing,A,10,30,0.0147161074381016
Hemicellulose,weekly flushing,A,10,90,0.00360411393019578
Cellulose,weekly flushing,A,10,14,0.0211544526144386
Cellulose,weekly flushing,A,10,30,0.0265021081506999
Cellulose,weekly flushing,A,10,90,0.00855578961484835
TS,weekly flushing,A,10,14,0.00739362707501322
TS,weekly flushing,A,10,30,0.00614601831938373
TS,weekly flushing,A,10,90,0.00247272873314929
CP,weekly flushing,A,10,14,0.0132245792272398
CP,weekly flushing,A,10,30,0.00897384329306363
CP,weekly flushing,A,10,90,0.00219489261575099
NDF,weekly flushing,A,10,30,0.00481472764817854
NDF,weekly flushing,A,10,90,0.00239551407503581
VS,weekly flushing,A,10,14,0.000265573047013462
VS,weekly flushing,A,10,30,0.00226075263561292
VS,weekly flushing,A,10,90,0.00159415616411908
Lipids,weekly flushing,A,10,30,0.00944448864171128
Lipids,weekly flushing,A,10,90,0.000754675091458515
Hemicellulose,weekly flushing,A,10,14,-0.0022321879996722
Hemicellulose,weekly flushing,A,10,30,0.00181734385833636
Hemicellulose,weekly flushing,A,10,90,0.00174628479405876
Cellulose,weekly flushing,A,10,14,0.0142477094092087
Cellulose,weekly flushing,A,10,30,0.0116091620497993
Cellulose,weekly flushing,A,10,90,0.00488308308847652
TS,weekly flushing,A,10,14,0.00147909520511107
TS,weekly flushing,A,10,30,0.00136667017340591
TS,weekly flushing,A,10,90,0.00116523998809383
CP,control,A,17.5,14,0.0148708014796666
CP,control,A,17.5,30,0.0258299068715101
CP,control,A,17.5,90,0.0105181455144456
NDF,control,A,17.5,30,0.0177406333644404
NDF,control,A,17.5,90,0.00664181787778265
VS,control,A,17.5,14,0.0108708505165677
VS,control,A,17.5,30,0.0131396244888869
VS,control,A,17.5,90,0.00605552130388963
Lipids,control,A,17.5,30,0.00481572761251284
Lipids,control,A,17.5,90,0.00822892506900839
Hemicellulose,control,A,17.5,14,0.00111899161422687
Hemicellulose,control,A,17.5,30,0.0133645230701306
Hemicellulose,control,A,17.5,90,0.00646984534342403
Cellulose,control,A,17.5,14,0.0406032422549722
Cellulose,control,A,17.5,30,0.0298555038220326
Cellulose,control,A,17.5,90,0.00877970979939419
TS,control,A,17.5,14,0.00630155491809222
TS,control,A,17.5,30,0.00809411437810249
TS,control,A,17.5,90,0.00389153766452071
CP,control,A,17.5,14,0.00871793789108814
CP,control,A,17.5,30,0.0144982702263672
CP,control,A,17.5,90,0.0057041975953598
NDF,control,A,17.5,30,0.019389399901808
NDF,control,A,17.5,90,0.00597401162046997
VS,control,A,17.5,14,0.0213639462500598
VS,control,A,17.5,30,0.0122182640277813
VS,control,A,17.5,90,0.00475314040524958
Lipids,control,A,17.5,30,0.0122102527537912
Lipids,control,A,17.5,90,0.00864722827172465
Hemicellulose,control,A,17.5,14,0.0263703572666423
Hemicellulose,control,A,17.5,30,0.014389301141327
Hemicellulose,control,A,17.5,90,0.00634805097553342
Cellulose,control,A,17.5,14,0.0529408260702197
Cellulose,control,A,17.5,30,0.0298213414070383
Cellulose,control,A,17.5,90,0.00666953183720432
TS,control,A,17.5,14,0.0134409281151942
TS,control,A,17.5,30,0.00792620913072886
TS,control,A,17.5,90,0.00331580777063216
CP,weekly flushing,A,17.5,14,0.0204591009543052
CP,weekly flushing,A,17.5,30,0.0102715688553452
CP,weekly flushing,A,17.5,90,0.00396761537058492
NDF,weekly flushing,A,17.5,30,0.0149643026495691
NDF,weekly flushing,A,17.5,90,0.00498802504893952
VS,weekly flushing,A,17.5,14,0.0231942905257268
VS,weekly flushing,A,17.5,30,0.00994662306439087
VS,weekly flushing,A,17.5,90,0.00362221896720273
Lipids,weekly flushing,A,17.5,30,0.00852279149876964
Lipids,weekly flushing,A,17.5,90,0.00211195531929363
Hemicellulose,weekly flushing,A,17.5,14,0.0333242533201073
Hemicellulose,weekly flushing,A,17.5,30,0.0111436189395741
Hemicellulose,weekly flushing,A,17.5,90,0.00541971035426037
Cellulose,weekly flushing,A,17.5,14,0.0571184996394618
Cellulose,weekly flushing,A,17.5,30,0.0260722561104668
Cellulose,weekly flushing,A,17.5,90,0.00642115910582732
TS,weekly flushing,A,17.5,14,0.0138096909061199
TS,weekly flushing,A,17.5,30,0.00603965146412409
TS,weekly flushing,A,17.5,90,0.00235040796337451
CP,weekly flushing,A,17.5,14,0.0201674105217804
CP,weekly flushing,A,17.5,30,0.0145849070250664
CP,weekly flushing,A,17.5,90,0.00346815812507604
NDF,weekly flushing,A,17.5,30,0.014455691159552
NDF,weekly flushing,A,17.5,90,0.00247535626331721
VS,weekly flushing,A,17.5,14,0.00576101737428514
VS,weekly flushing,A,17.5,30,0.00909879840770757
VS,weekly flushing,A,17.5,90,0.00276460043792791
Lipids,weekly flushing,A,17.5,30,0.0113517160277743
Lipids,weekly flushing,A,17.5,90,0.00446130673348048
Hemicellulose,weekly flushing,A,17.5,14,4.28205372582302e-05
Hemicellulose,weekly flushing,A,17.5,30,0.0110801637742023
Hemicellulose,weekly flushing,A,17.5,90,0.00332399674238857
Cellulose,weekly flushing,A,17.5,14,0.0249256017230248
Cellulose,weekly flushing,A,17.5,30,0.0256016664212551
Cellulose,weekly flushing,A,17.5,90,0.00248727645796307
TS,weekly flushing,A,17.5,14,0.00317253343883547
TS,weekly flushing,A,17.5,30,0.00556182219230562
TS,weekly flushing,A,17.5,90,0.00182904140164757
CP,control,A,25,14,0.032930343785123
CP,control,A,25,30,0.0243997227696979
CP,control,A,25,90,0.0177120695943414
NDF,control,A,25,30,0.0192937747910566
NDF,control,A,25,90,0.00725017650317485
VS,control,A,25,14,0.026148646932525
VS,control,A,25,30,0.0176971532704539
VS,control,A,25,90,0.00956517778260532
Lipids,control,A,25,30,0.0166114177491815
Lipids,control,A,25,90,0.0132778629386002
Hemicellulose,control,A,25,14,0.028753370397811
Hemicellulose,control,A,25,30,0.0146600060944481
Hemicellulose,control,A,25,90,0.00760303094901127
Cellulose,control,A,25,14,0.0558066935057475
Cellulose,control,A,25,30,0.0305514865034197
Cellulose,control,A,25,90,0.00809806744346922
TS,control,A,25,14,0.0160906727753568
TS,control,A,25,30,0.0106344607615425
TS,control,A,25,90,0.00625727472450067
CP,control,A,25,14,0.0294172629215239
CP,control,A,25,30,0.0201723662218035
CP,control,A,25,90,0.00932671324119628
NDF,control,A,25,30,0.0258497448910358
NDF,control,A,25,90,0.00705147960436786
VS,control,A,25,14,0.0271012377527078
VS,control,A,25,30,0.0204905983652271
VS,control,A,25,90,0.00807353617629954
Lipids,control,A,25,30,0.0206038321045995
Lipids,control,A,25,90,0.0134009081867127
Hemicellulose,control,A,25,14,0.0283288762341587
Hemicellulose,control,A,25,30,0.0233915478487349
Hemicellulose,control,A,25,90,0.00674560143677312
Cellulose,control,A,25,14,0.0513116453494067
Cellulose,control,A,25,30,0.0317096389952749
Cellulose,control,A,25,90,0.00852292939493382
TS,control,A,25,14,0.0176526432928812
TS,control,A,25,30,0.012775988449881
TS,control,A,25,90,0.00417979744296533
CP,weekly flushing,A,25,14,0.015986908756413
CP,weekly flushing,A,25,30,0.0268578830784672
CP,weekly flushing,A,25,90,0.00856683696099436
NDF,weekly flushing,A,25,30,0.0214554231569321
NDF,weekly flushing,A,25,90,0.00805842785503243
VS,weekly flushing,A,25,14,0.0201507971367522
VS,weekly flushing,A,25,30,0.0154853307443827
VS,weekly flushing,A,25,90,0.00711411569299216
Lipids,weekly flushing,A,25,30,0.0111300709077278
Lipids,weekly flushing,A,25,90,0.0127446881624721
Hemicellulose,weekly flushing,A,25,14,0.0290441683961822
Hemicellulose,weekly flushing,A,25,30,0.0166788525317444
Hemicellulose,weekly flushing,A,25,90,0.00828549649815422
Cellulose,weekly flushing,A,25,14,0.050136060134713
Cellulose,weekly flushing,A,25,30,0.0342947294004218
Cellulose,weekly flushing,A,25,90,0.00971723063876643
TS,weekly flushing,A,25,14,0.0124347856543791
TS,weekly flushing,A,25,30,0.00975677363029247
TS,weekly flushing,A,25,90,0.00465406469416105
CP,weekly flushing,A,25,14,0.0293293684425275
CP,weekly flushing,A,25,30,0.0228560609132726
CP,weekly flushing,A,25,90,0.0117116330486706
NDF,weekly flushing,A,25,30,0.0181449187695374
NDF,weekly flushing,A,25,90,0.00473099882044598
VS,weekly flushing,A,25,14,0.0157394923052759
VS,weekly flushing,A,25,30,0.0132071173486357
VS,weekly flushing,A,25,90,0.00503839314924684
Lipids,weekly flushing,A,25,30,0.0112481020492271
Lipids,weekly flushing,A,25,90,0.0127688714657653
Hemicellulose,weekly flushing,A,25,14,0.017253550563817
Hemicellulose,weekly flushing,A,25,30,0.0150345019067036
Hemicellulose,weekly flushing,A,25,90,0.00480044236766926
Cellulose,weekly flushing,A,25,14,0.0414173324390109
Cellulose,weekly flushing,A,25,30,0.0265623501055763
Cellulose,weekly flushing,A,25,90,0.0064669935439884
TS,weekly flushing,A,25,14,0.00953719607189723
TS,weekly flushing,A,25,30,0.00819259912795236
TS,weekly flushing,A,25,90,0.00347884009195899
CP,control,B,10,14,0.0319733293320717
CP,control,B,10,30,0.0186139048082755
CP,control,B,10,90,0.00367330610336816
NDF,control,B,10,30,0.00458171245542447
NDF,control,B,10,90,0.00370894130975882
VS,control,B,10,14,-0.00350944979801257
VS,control,B,10,30,0.00225833814824316
VS,control,B,10,90,0.000707981625295972
Lipids,control,B,10,30,4.03267927427391e-05
Lipids,control,B,10,90,-0.00195086168184957
Hemicellulose,control,B,10,30,0.00408026582758698
Hemicellulose,control,B,10,90,0.00391644596979563
Cellulose,control,B,10,30,0.00708978731968918
Cellulose,control,B,10,90,0.00535255723356712
TS,control,B,10,14,-0.0039758830811108
TS,control,B,10,30,0.000843655465391967
TS,control,B,10,90,0.000154434120269335
CP,control,B,10,14,0.0322096814383515
CP,control,B,10,30,0.028572190144554
CP,control,B,10,90,0.0111399779008377
NDF,control,B,10,30,0.00426685808541954
NDF,control,B,10,90,0.00341699372564987
VS,control,B,10,14,-0.00348998576698193
VS,control,B,10,30,0.00304692806316296
VS,control,B,10,90,0.00141929376712355
Lipids,control,B,10,30,0.00309638637281609
