Metric,Treatment,Farm,Temperature,14,30,90
CP,control,A,10,2,2,2
CP,control,A,17.5,2,2,2
CP,control,A,25,2,2,2
CP,control,B,10,2,2,2
CP,control,B,17.5,2,2,2
CP,control,B,25,2,2,2
CP,weekly flushing,A,10,2,2,2
CP,weekly flushing,A,17.5,2,2,2
CP,weekly flushing,A,25,2,2,2
CP,weekly flushing,B,10,2,2,2
CP,weekly flushing,B,17.5,2,2,2
CP,weekly flushing,B,25,2,2,2
CP,weekly flushing,C,17.5,0,2,2
CP,weekly flushing,D,17.5,0,2,2
NDF,control,A,10,0,2,2
NDF,control,A,17.5,0,2,2
NDF,control,A,25,0,2,2
NDF,control,B,10,0,2,2
NDF,control,B,17.5,0,2,2
NDF,control,B,25,0,2,2
NDF,weekly flushing,A,10,0,2,2
NDF,weekly flushing,A,17.5,0,2,2
NDF,weekly flushing,A,25,0,2,2
NDF,weekly flushing,B,10,0,2,2
NDF,weekly flushing,B,17.5,0,2,2
NDF,weekly flushing,B,25,0,2,2
NDF,weekly flushing,C,17.5,0,2,2
NDF,weekly flushing,D,17.5,0,2,2
VS,control,A,10,2,2,2
VS,control,A,17.5,2,2,2
VS,control,A,25,2,2,2
VS,control,B,10,2,2,2
VS,control,B,17.5,2,2,2
VS,control,B,25,2,2,2
VS,weekly flushing,A,10,2,2,2
VS,weekly flushing,A,17.5,2,2,2
VS,weekly flushing,A,25,2,2,2
VS,weekly flushing,B,10,2,2,2
VS,weekly flushing,B,17.5,2,2,2
VS,weekly flushing,B,25,2,2,2
VS,weekly flushing,C,17.5,0,2,2
VS,weekly flushing,D,17.5,0,2,2
Lipids,control,A,10,0,2,2
Lipids,control,A,17.5,0,2,2
Lipids,control,A,25,0,2,2
Lipids,control,B,10,0,2,2
Lipids,control,B,17.5,0,2,2
Lipids,control,B,25,0,2,2
Lipids,weekly flushing,A,10,0,2,2
Lipids,weekly flushing,A,17.5,0,2,2
Lipids,weekly flushing,A,25,0,2,2
Lipids,weekly flushing,B,10,0,2,2
Lipids,weekly flushing,B,17.5,0,2,2
Lipids,weekly flushing,B,25,0,2,2
Lipids,weekly flushing,C,17.5,0,2,2
Lipids,weekly flushing,D,17.5,0,2,2
