Variable,Effect,Pr(>F)
VS,(Intercept),1.93683428013628e-06
VS,Farm,7.98150731009325e-05
VS,Treatment,0.148942643980443
VS,Temperature,0.00108576275809716
VS,Farm:Treatment,0.00966685650624028
VS,Treatment:Temperature,0.809809267509258
VS,Residuals,
CP,(Intercept),0.000240328708646521
CP,Farm,0.985055963549728
CP,Treatment,0.0586676478110348
CP,Temperature,0.0145607901196535
CP,Farm:Treatment,0.342235999161839
CP,Treatment:Temperature,0.512758234556753
CP,Residuals,
NDF,(Intercept),5.32817831727347e-06
NDF,Farm,0.0533391571523297
NDF,Treatment,0.273601465000733
NDF,Temperature,0.16194331308394
NDF,Farm:Treatment,0.041312003793537
NDF,Treatment:Temperature,0.951548638372196
NDF,Residuals,
Lipids,(Intercept),0.114166613504845
Lipids,Farm,0.000374511497927695
Lipids,Treatment,0.860977249410275
Lipids,Temperature,0.00705704048243237
Lipids,Farm:Treatment,0.614309795370813
Lipids,Treatment:Temperature,0.408606892106218
Lipids,Residuals,
